;Available since;Garden;Latitude;Link;Listing_status;Longitude;Neighbourhood;Number of bedrooms;Number of rooms;Price;Street;Surface (m²);Total volume (m³);Type;Year built;Zipcode
207;> 3 maanden;['No'];52.40107593;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0000332342/dijkwater;Beschikbaar;4.93665482;Buikslotermeer;1;2;211000;Dijkwater;64;160;Appartement;1981;1025CW
208;23-05-2018;['No'];52.38301577;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002386051/van-hogendorpstraat;Beschikbaar;4.87384212;Staatsliedenbuurt;1;2;250000;Van Hogendorpstraat;41;125;Appartement;1902;1051BM
209;> 3 maanden;['No'];52.37736727;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002336289/knsm-laan;Beschikbaar;4.94160987;Oostelijk Havengebied;2;3;425000;KNSM-laan;87;125;Appartement;1996;1019LG
210;> 3 maanden;['No'];52.37777739;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0001796967/hekelveld;Beschikbaar;4.8953592;Burgwallen-Nieuwe Zijde;2;3;850000;Hekelveld;128;125;Woonhuis;1850;1012SN
211;14-03-2018;['No'];52.36493868;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002330527/eerste-constantijn-huygensstraat;Beschikbaar;4.87319975;Helmersbuurt;2;3;750000;Eerste Constantijn Huygensstraat;117;380;Appartement;2011;1054BR
212;07-05-2018;['No'];52.3534086;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002377905/rosa-manusstraat;Beschikbaar;4.79641993;Osdorp-Midden;[];3;259000;Rosa Manusstraat;71;222;Appartement;1983;1069RD
213;03-05-2018;['No'];52.37396534;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002371362/bloemstraat;Beschikbaar;4.88014389;Jordaan;3;5;825000;Bloemstraat;213;800;Woonhuis;1905;1016LG
214;14-05-2018;['No'];52.37357577;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002377005/willem-de-zwijgerlaan;Beschikbaar;4.86292312;De Krommert;2;3;275000;Willem de Zwijgerlaan;51;166;Appartement;[];1056JJ
215;> 3 maanden;['Yes', 'ja'];52.34260844;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002203401/schaarbeekstraat;Beschikbaar;4.80981482;Sloten- en Riekerpolder;5;6;535000;Schaarbeekstraat;173;580;Woonhuis;1993;1066JW
216;14-05-2018;['No'];52.34633565;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379782/holbeinstraat;Bieding;4.87564589;Station-Zuid WTC en omgeving;7;8;1300000;Holbeinstraat;200;760;Appartement;1932;1077VB
217;> 3 maanden;['No'];52.38846096;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002383890/zuiderzeepark;Beschikbaar;4.95946379;Waterland;2;3;265000;Zuiderzeepark;73;760;Appartement;1995;1024MG
218;04-05-2018;['Yes', 'achtertuin'];52.38424408;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002371073/doggersbankstraat;Verkocht onder voorbehoud;4.85085539;Landlust;2;3;275000;Doggersbankstraat;49;177;Appartement;1936;1055NZ
219;25-05-2018;['No'];52.31723979;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002386401/bijlmerdreef;Beschikbaar;4.95627777;Bijlmer-Oost (E, G, K);2;3;255000;Bijlmerdreef;85;226;Appartement;2008;1102AC
220;10-04-2018;['No'];52.37718516;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002350443/hoofdweg;Beschikbaar;4.84612376;Westindische buurt;2;3;439000;Hoofdweg;98;310;Appartement;2009;1055SC
221;> 3 maanden;['No'];52.38197018;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002305348/de-kempenaerstraat;Verkocht onder voorbehoud;4.86902202;Staatsliedenbuurt;1;2;265000;De Kempenaerstraat;36;122;Appartement;1906;1051CN
222;04-04-2018;['Yes', 'achtertuin'];52.37885363;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002346246/jan-den-haenstraat;Bieding;4.8613627;Landlust;3;4;550000;Jan den Haenstraat;115;345;Woonhuis;1935;1055WG
223;12-05-2018;['No'];52.30770008;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375640/leerdamhof;Beschikbaar;4.97543203;Nellestein;2;3;215000;Leerdamhof;75;198;Appartement;1976;1108BH
224;18-05-2018;['No'];52.36489628;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380986/djambistraat;Beschikbaar;4.93788849;Indische Buurt West;[];3;300000;Djambistraat;57;140;Appartement;1913;1094BB
225;04-05-2018;['No'];52.37909874;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002371098/sam-van-houtenstraat;Beschikbaar;4.7988388;Geuzenveld;[];4;250000;Sam van Houtenstraat;65;170;Appartement;1960;1067JK
226;06-04-2018;['No'];52.39408109;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380056/zandvoortstraat;Beschikbaar;4.95529595;Nieuwendam-Noord;2;3;295000;Zandvoortstraat;88;255;Appartement;2003;1024VS
227;09-05-2018;['Yes', 'zonneterras'];52.34704458;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002374209/emmy-andriessestraat;Verkocht onder voorbehoud;5.00930595;IJburg Zuid;4;5;599000;Emmy Andriessestraat;138;582;Woonhuis;2010;1087LS
228;16-04-2018;['Yes', 'achtertuin'];52.34958097;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002355112/sloterkade;Verkocht onder voorbehoud;4.85143575;Hoofddorppleinbuurt;4;6;695000;Sloterkade;109;402;Woonhuis;1910;1059EB
229;30-03-2018;['No'];52.30944489;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002342805/leksmondhof;Verkocht onder voorbehoud;4.98097331;Nellestein;1;3;185000;Leksmondhof;58;174;Appartement;1976;1108GA
230;12-03-2018;['No'];52.35509624;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002318745/paardekraalstraat;Beschikbaar;4.92532009;Transvaalbuurt;1;2;375000;Paardekraalstraat;66;275;Appartement;1912;1092JA
231;09-05-2018;['No'];52.38122845;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002374599/eerste-keucheniusstraat;Bieding;4.87205627;Staatsliedenbuurt;3;5;580000;Eerste Keucheniusstraat;91;285;Appartement;[];1051HS
232;21-03-2018;['No'];52.37751517;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002336515/bogortuin;Verkocht onder voorbehoud;4.93322268;Oostelijk Havengebied;[];3;500000;Bogortuin;93;313;Appartement;2001;1019PG
233;30-04-2018;['No'];52.36299534;https://www.pararius.nl/overig-te-koop/amsterdam/PB0002365637/nieuwe-achtergracht;Beschikbaar;4.9091913;Weesperbuurt/Plantage;1;2;235000;Nieuwe Achtergracht;39;313;Overig;[];1018WN
234;01-05-2018;['No'];52.37311489;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002365827/windroosplein;Verkocht onder voorbehoud;4.92488284;Oostelijke Eilanden/Kadijken;1;2;249000;Windroosplein;43;144;Appartement;1989;1018ZW
235;10-04-2018;['No'];52.361771;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002351505/ruimzicht;Verkocht onder voorbehoud;4.80993248;Osdorp-Oost;1;2;185000;Ruimzicht;53;163;Appartement;1966;1068CX
236;03-04-2018;['No'];52.35443917;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002346154/vogelenzangstraat;Verkocht onder voorbehoud;4.84656257;Hoofddorppleinbuurt;2;3;315000;Vogelenzangstraat;56;179;Appartement;1930;1058SW
237;> 3 maanden;['Yes', 'ja'];52.35005838;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002305842/lomondlaan;Verkocht onder voorbehoud;4.77911623;Middelveldsche Akerpolder en Sloten;4;5;375000;Lomondlaan;111;385;Woonhuis;1998;1060PL
238;> 3 maanden;['No'];52.3562381;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002248718/erich-salomonstraat;Verkocht onder voorbehoud;4.99793959;IJburg West;[];4;350000;Erich Salomonstraat;100;350;Opslagruimte;2005;1087GZ
239;> 3 maanden;['Yes', 'achtertuin'];52.35510804;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002184327/transvaalstraat;Verkocht onder voorbehoud;4.92603922;Transvaalbuurt;2;3;375000;Transvaalstraat;66;257;Appartement;1913;1092HC
240;> 3 maanden;['No'];52.34512756;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002206768/beethovenstraat;Verkocht onder voorbehoud;4.87686319;Station-Zuid WTC en omgeving;3;4;499000;Beethovenstraat;86;270;Appartement;1931;1077HZ
241;12-03-2018;['No'];52.36697695;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002318979/geschutswerf;Verkocht onder voorbehoud;4.92046863;Oostelijke Eilanden/Kadijken;2;3;1160000;Geschutswerf;147;599;Appartement;1840;1018AW
242;> 3 maanden;['Yes'];52.37892632;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379528/kostverlorenstraat;Beschikbaar;4.87383071;Frederik Hendrikbuurt;[];2;500000;Kostverlorenstraat;97;599;Appartement;1922;1052GX
243;18-05-2018;['No'];52.35042465;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380994/cornelis-trooststraat;Beschikbaar;4.88817702;Nieuwe Pijp;[];1;297500;Cornelis Trooststraat;47;143;Appartement;1924;1072JG
244;> 3 maanden;['No'];52.37255579;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002217454/jacob-burggraafstraat;Beschikbaar;4.92211332;Oostelijke Eilanden/Kadijken;2;3;425000;Jacob Burggraafstraat;74;185;Appartement;1990;1018WA
245;26-03-2018;['Yes', 'achtertuin'];52.34457127;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002373093/brusselsingel;Verkocht onder voorbehoud;4.80868864;Sloten- en Riekerpolder;3;4;439000;Brusselsingel;127;422;Woonhuis;1994;1066WJ
246;12-04-2018;['No'];52.38104648;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002352497/goudsbloemstraat;Verkocht onder voorbehoud;4.88620219;Jordaan;2;3;430000;Goudsbloemstraat;59;142;Appartement;1986;1015JP
247;> 3 maanden;['Yes', 'ja'];52.39122329;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002304163/nieuwendammerdijk;Beschikbaar;4.93607919;Ijplein/Vogelbuurt;4;6;1200000;Nieuwendammerdijk;170;456;Woonhuis;2018;1025LW
248;25-05-2018;['No'];52.35642813;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002387117/hendrik-de-bruynstraat;Beschikbaar;4.8277931;Slotervaart;2;3;275000;Hendrik de Bruynstraat;76;194;Appartement;[];1065EE
249;> 3 maanden;['No'];52.33881697;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002354809/welnastraat;Beschikbaar;4.92067123;De Omval;[];1;189000;Welnastraat;28;95;Appartement;2014;1096GJ
250;> 3 maanden;['No'];52.35204048;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389488/akersingel;Beschikbaar;4.77829648;Middelveldsche Akerpolder en Sloten;2;3;275000;Akersingel;89;285;Appartement;1997;1060NJ
251;08-05-2018;['No'];52.35293524;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002373315/de-lairessestraat;Beschikbaar;4.86798133;Museumkwartier;2;3;570000;De Lairessestraat;72;261;Appartement;1923;1075HL
252;18-04-2018;['No'];52.38098374;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002356430/jephtastraat;Verkocht onder voorbehoud;4.84541648;Landlust;2;3;250000;Jephtastraat;88;271;Appartement;1960;1055JS
253;> 3 maanden;['No'];52.35416326;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002228977/eerste-schinkelstraat;Beschikbaar;4.85509406;Schinkelbuurt;1;2;340000;Eerste Schinkelstraat;53;163;Appartement;1906;1075TX
254;> 3 maanden;['No'];52.37687076;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002338842/lanseloetstraat;Verkocht onder voorbehoud;4.85010747;Erasmuspark;2;3;275000;Lanseloetstraat;55;190;Opslagruimte;1940;1055BE
255;> 3 maanden;['No'];52.40445861;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002283588/amerbos;Verkocht onder voorbehoud;4.94229267;Buikslotermeer;1;1;129500;Amerbos;33;80;Woonhuis;1968;1025ZW
256;07-04-2018;['No'];52.3771271;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002348920/goeman-borgesiusstraat;Beschikbaar;4.79998109;Geuzenveld;2;3;360000;Goeman Borgesiusstraat;99;235;Appartement;1957;1067LN
257;18-05-2018;['No'];52.37523444;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382945/oostelijke-handelskade;Bieding;4.93143974;Oostelijk Havengebied;2;3;650000;Oostelijke Handelskade;98;290;Appartement;2012;1019BW
258;> 3 maanden;['No'];52.35589551;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002306773/saenredamstraat;Verkocht onder voorbehoud;4.88754303;Oude Pijp;1;2;200000;Saenredamstraat;28;94;Appartement;[];1072CA
259;07-03-2018;['No'];52.37794352;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002333288/javakade;Verkocht onder voorbehoud;4.93009015;Oostelijk Havengebied;2;3;550000;Javakade;100;319;Appartement;1998;1019RW
260;06-03-2018;['No'];52.3692207;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315603/rapenburgerstraat;Beschikbaar;4.90841942;Nieuwmarkt/Lastage;1;2;415000;Rapenburgerstraat;51;168;Appartement;1964;1011VK
261;28-05-2018;['No'];52.37214532;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389114/rozengracht;Beschikbaar;4.87492241;Jordaan;2;3;500000;Rozengracht;76;198;Appartement;1894;1016SZ
262;04-05-2018;['No'];52.37179481;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002370995/jacob-burggraafstraat;Bieding;4.92287019;Oostelijke Eilanden/Kadijken;1;2;425000;Jacob Burggraafstraat;100;395;Appartement;2004;1018WA
263;24-05-2018;['No'];52.35176775;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002386158/hoofddorpplein;Beschikbaar;4.85005902;Hoofddorppleinbuurt;1;2;385000;Hoofddorpplein;65;214;Appartement;1927;1058PD
264;> 3 maanden;['Yes'];52.37256386;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002352776/hugo-de-grootkade;Beschikbaar;4.8698955;Frederik Hendrikbuurt;3;4;575000;Hugo de Grootkade;60;214;Woonhuis;1952;1052LX
265;> 3 maanden;['No'];52.35608601;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002367694/pieter-calandlaan;Beschikbaar;4.82957358;Osdorp-Oost;3;5;350000;Pieter Calandlaan;115;357;Appartement;[];1065KJ
266;> 3 maanden;['No'];52.36447368;https://www.pararius.nl/bedrijfsruimte-te-koop/amsterdam/PB0002271226/keizersgracht;Beschikbaar;4.88845946;Grachtengordel-West;[];5;9950000;Keizersgracht;115;357;Bedrijfsruimte;1770;1017EM
267;> 3 maanden;['Yes', 'ja'];52.34115981;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002365513/middenweg;Beschikbaar;4.94991191;Frankendael;3;4;425000;Middenweg;85;290;Appartement;1925;1097VE
268;> 3 maanden;['No'];52.37744067;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002355029/willem-baerdesenstraat;Beschikbaar;4.80341349;Geuzenveld;2;3;249500;Willem Baerdesenstraat;82;290;Appartement;2004;1067XX
269;> 3 maanden;['No'];52.35010298;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002331451/overamstelstraat;Beschikbaar;4.91267649;Weesperzijde;1;2;239500;Overamstelstraat;39;290;Appartement;1913;1091TL
270;> 3 maanden;['No'];52.35369547;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002359989/wittgensteinlaan;Verkocht onder voorbehoud;4.83537216;Westlandgracht;2;3;425000;Wittgensteinlaan;94;285;Appartement;1991;1062KC
271;> 3 maanden;['No'];52.38444419;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002362580/gibraltarstraat;Beschikbaar;4.84939882;Landlust;2;3;375000;Gibraltarstraat;70;225;Appartement;1936;1055NT
272;> 3 maanden;['No'];52.36288872;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002357423/eerste-van-swindenstraat;Verkocht onder voorbehoud;4.92766137;Dapperbuurt;1;2;250000;Eerste Van Swindenstraat;43;135;Appartement;1881;1093GB
273;04-04-2018;['No'];52.37902406;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002346244/jan-den-haenstraat;Bieding;4.86128725;Landlust;1;2;295000;Jan den Haenstraat;52;140;Appartement;1935;1055WH
274;10-04-2018;['Yes', 'achtertuin'];52.29368703;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002350768/twellostraat;Verkocht onder voorbehoud;4.96745579;Holendrecht/Reigersbos;2;3;225000;Twellostraat;73;250;Woonhuis;1984;1107PH
275;23-04-2018;['No'];52.32450308;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002360088/dostojevskisingel;Beschikbaar;4.94925446;Bijlmer-Centrum (D, F, H);3;4;300000;Dostojevskisingel;101;259;Appartement;1983;1102XM
276;21-05-2018;['Yes', 'achtertuin'];52.34340497;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002383359/vechtstraat;Beschikbaar;4.9076853;Rijnbuurt;3;4;500000;Vechtstraat;81;293;Appartement;1906;1079JC
277;16-05-2018;['No'];52.34765605;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002381094/peter-martensstraat;Beschikbaar;5.01114898;IJburg Zuid;[];5;475000;Peter Martensstraat;113;412;Woonhuis;2011;1087NA
278;15-05-2018;['No'];52.3820612;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002377625/van-boetzelaerstraat;Beschikbaar;4.87134159;Staatsliedenbuurt;5;6;525000;Van Boetzelaerstraat;98;280;Appartement;[];1051EA
279;30-04-2018;['No'];52.35629451;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002365656/ekingenstraat;Verkocht onder voorbehoud;4.79658702;Osdorp-Midden;2;3;239000;Ekingenstraat;81;241;Appartement;1962;1069GV
280;06-03-2018;['No'];52.3692207;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315593/rapenburgerstraat;Beschikbaar;4.90841942;Nieuwmarkt/Lastage;1;2;350000;Rapenburgerstraat;44;169;Appartement;1964;1011VK
281;> 3 maanden;['No'];52.35650879;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002373081/langswater;Verkocht onder voorbehoud;4.78914181;De Punt;3;4;172000;Langswater;72;224;Appartement;1963;1069ED
282;> 3 maanden;['Yes', 'ja'];52.42368439;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002362056/noorder-valdeur;Verkocht onder voorbehoud;4.89273248;Oostzanerwerf;3;4;325000;Noorder Valdeur;93;325;Woonhuis;1993;1035KA
283;16-04-2018;['Yes'];52.31952714;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002354707/janusz-korczakstraat;Beschikbaar;4.95750226;Bijlmer-Centrum (D, F, H);3;4;349000;Janusz Korczakstraat;141;526;Woonhuis;2002;1102JP
284;25-04-2018;['Yes', 'achtertuin'];52.40589045;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002362316/boterkersstraat;Verkocht onder voorbehoud;4.90044143;Tuindorp Oostzaan;3;4;530000;Boterkersstraat;127;360;Woonhuis;2013;1036KT
285;> 3 maanden;['No'];52.40068417;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002356827/dijkwater;Verkocht onder voorbehoud;4.93762858;Buikslotermeer;1;2;184500;Dijkwater;66;201;Appartement;1981;1025CW
286;18-04-2018;['No'];52.38343458;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002356519/eerste-nassaustraat;Verkocht onder voorbehoud;4.87925715;Staatsliedenbuurt;1;1;200000;Eerste Nassaustraat;31;104;Appartement;1882;1052BH
287;> 3 maanden;['Yes'];52.36463026;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002352338/tweede-helmersstraat;Beschikbaar;4.87669759;Helmersbuurt;1;2;525000;Tweede Helmersstraat;70;104;Appartement;1905;1054CK
288;> 3 maanden;['No'];52.37725833;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002295891/de-rijpgracht;Verkocht onder voorbehoud;4.86238027;Landlust;2;3;530000;De Rijpgracht;94;334;Appartement;1934;1056XP
289;13-03-2018;['No'];52.3417516;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002380098/ijsbaanpad;Beschikbaar;4.84917611;Stadionbuurt;2;3;389000;IJsbaanpad;65;170;Woonhuis;1986;1076CW
290;22-05-2018;['No'];52.3647077;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002385102/nieuwe-kerkstraat;Beschikbaar;4.90813044;Weesperbuurt/Plantage;1;1;675000;Nieuwe Kerkstraat;100;170;Appartement;[];1018VK
291;> 3 maanden;['No'];52.35377785;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0001903078/prins-hendriklaan;Beschikbaar;4.86136628;Willemspark;1;2;1095000;Prins Hendriklaan;107;415;Appartement;1901;1075BD
292;03-05-2018;['Yes', 'achtertuin'];52.38272496;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002373103/burgemeester-vening-meineszlaan;Beschikbaar;4.83132427;Slotermeer-Noordoost;4;5;550000;Burgemeester Vening Meineszlaan;142;465;Woonhuis;1953;1063AX
293;11-04-2018;['No'];52.37170539;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002351861/groenmarktkade;Bieding;4.87503028;Jordaan;1;2;365000;Groenmarktkade;54;160;Appartement;[];1016TA
294;21-03-2018;['No'];52.37237985;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002336514/pompmanstraat;Verkocht onder voorbehoud;4.94903149;Oostelijk Havengebied;[];6;750000;Pompmanstraat;149;517;Appartement;1999;1019WS
295;> 3 maanden;['Yes'];52.29343723;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002222753/scherpenzeelstraat;Beschikbaar;4.97824657;Holendrecht/Reigersbos;2;3;190000;Scherpenzeelstraat;72;180;Appartement;1986;1107HR
296;17-05-2018;['No'];52.3849878;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382486/joan-melchior-kemperstraat;Beschikbaar;4.87262951;Staatsliedenbuurt;2;3;365000;Joan Melchior Kemperstraat;60;126;Appartement;1905;1051TV
297;28-05-2018;"['Yes', 'achtertuin;zonneterras']";52.35109494;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389006/schollenbrugpad;Beschikbaar;4.91350249;Weesperzijde;1;3;595000;Schollenbrugpad;94;347;Appartement;2006;1091ST
298;> 3 maanden;['No'];52.36206768;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0001885127/stadhouderskade;Beschikbaar;4.88063221;Oude Pijp;3;5;1850000;Stadhouderskade;224;653;Appartement;1991;1054ES
299;> 3 maanden;['No'];52.35419857;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002373767/simon-stevinstraat;Beschikbaar;4.92791281;Frankendael;6;10;960000;Simon Stevinstraat;200;653;Appartement;1920;1097BZ
300;02-05-2018;['No'];52.37931648;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002389363/leeuwendalersweg;Bieding;4.84639149;De Kolenkit;2;3;349000;Leeuwendalersweg;81;255;Appartement;2004;1055JE
301;04-05-2018;['Yes', 'achtertuin'];52.32379855;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002371353/wallestein;Beschikbaar;4.86428816;Buitenveldert-West;4;5;580000;Wallestein;130;449;Woonhuis;[];1081BD
302;19-03-2018;['No'];52.36329452;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002385358/sarphatistraat;Beschikbaar;4.9188337;Weesperbuurt/Plantage;1;3;385000;Sarphatistraat;64;450;Appartement;1890;1018GW
303;> 3 maanden;['No'];52.37392689;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002385802/admiraal-de-ruijterweg;Beschikbaar;4.85901279;Landlust;2;3;425000;Admiraal De Ruijterweg;77;450;Appartement;1912;1056GV
304;> 3 maanden;['No'];52.35599973;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372092/pretoriusstraat;Beschikbaar;4.92652903;Transvaalbuurt;1;2;225000;Pretoriusstraat;34;125;Appartement;[];1092EW
305;> 3 maanden;['No'];52.36188821;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0001157925/crynssenstraat;Beschikbaar;4.8560878;Westindische buurt;1;3;174500;Crynssenstraat;57;145;Appartement;1931;1058XT
306;> 3 maanden;['No'];52.37149149;https://www.pararius.nl/overig-te-koop/amsterdam/PB0002372090/borneolaan;Beschikbaar;4.93742522;Oostelijk Havengebied;[];3;35000;Borneolaan;57;145;Overig;[];1019HZ
307;> 3 maanden;['No'];52.37779053;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002351305/bos-en-lommerplein;Verkocht onder voorbehoud;4.84682131;De Kolenkit;2;3;390000;Bos en Lommerplein;79;270;Appartement;2008;1055AD
308;23-05-2018;['No'];52.3524746;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002384690/rustenburgerstraat;Beschikbaar;4.89913294;Diamantbuurt;2;3;699000;Rustenburgerstraat;105;346;Appartement;1896;1073GA
309;> 3 maanden;['No'];52.34923588;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002350598/ecuplein;Beschikbaar;4.78524773;Middelveldsche Akerpolder en Sloten;2;3;300000;Ecuplein;87;346;Appartement;1999;1060RN
310;04-04-2018;['Yes', 'achtertuin'];52.37902406;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002346243/jan-den-haenstraat;Bieding;4.86128725;Landlust;2;3;550000;Jan den Haenstraat;115;345;Appartement;1931;1055WH
311;> 3 maanden;['Yes'];52.31305124;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002370908/1e-kekerstraat;Beschikbaar;4.98162959;Bijlmer-Oost (E, G, K);2;3;250000;1e Kekerstraat;97;345;Woonhuis;2007;1104VA
312;19-04-2018;['Yes', 'achtertuin'];52.35282512;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002358812/van-ostadestraat;Verkocht onder voorbehoud;4.89695676;Nieuwe Pijp;1;3;340000;Van Ostadestraat;54;208;Appartement;1910;1073TV
313;09-04-2018;['No'];52.36600271;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002349843/president-allendelaan;Gepasseerd;4.80777784;Osdorp-Oost;3;4;395000;President Allendelaan;106;208;Appartement;2006;1068VM
314;04-04-2018;['Yes', 'Nieuwe tuin 1'];52.35289935;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002345008/albert-luthulistraat;Verkocht onder voorbehoud;4.91975068;Transvaalbuurt;2;3;250000;Albert Luthulistraat;49;175;Appartement;1923;1091NR
315;17-05-2018;['No'];52.35042488;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002381244/apollolaan;Beschikbaar;4.87768291;Apollobuurt;4;8;1500000;Apollolaan;231;805;Appartement;1927;1077AM
316;19-05-2018;['No'];52.39013935;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382232/polanenstraat;Beschikbaar;4.87715308;Spaarndammer- en Zeeheldenbuurt;[];4;599000;Polanenstraat;89;310;Appartement;1921;1013WB
317;23-04-2018;['No'];52.34456899;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379212/jasonstraat;Verkocht onder voorbehoud;4.8601546;Station-Zuid WTC en omgeving;1;3;465000;Jasonstraat;63;170;Appartement;1935;1076KW
