;Available since;Garden;Latitude;Link;Listing_status;Longitude;Neighbourhood;Number of bedrooms;Number of rooms;Price;Street;Surface (m²);Total volume (m³);Type;Year built;Zipcode
165;21-03-2018;['Yes'];52.38039497;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002318197/nannie-van-wehlstraat;Beschikbaar;4.8102041;Slotermeer-Zuidwest;3;4;325000;Nannie van Wehlstraat;101;353;Woonhuis;1989;1064MN
166;09-04-2018;['No'];52.36171222;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002349953/sarphatistraat;Beschikbaar;4.90971895;Weesperbuurt/Plantage;5;8;1290000;Sarphatistraat;208;707;Appartement;[];1018GA
167;14-05-2018;['No'];52.37487126;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002379119/lijnbaansgracht;Beschikbaar;4.87762237;Jordaan;5;7;1550000;Lijnbaansgracht;208;646;Woonhuis;1858;1015GZ
168;27-03-2018;['No'];52.35109969;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002341456/pieter-calandlaan;Beschikbaar;4.79661212;Osdorp-Oost;2;3;275000;Pieter Calandlaan;87;290;Appartement;2006;1069SE
169;11-05-2018;['No'];52.38472335;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375390/de-wittenkade;Verkocht onder voorbehoud;4.88007963;Staatsliedenbuurt;1;2;229000;De Wittenkade;32;81;Appartement;1884;1052AA
170;16-04-2018;"['Yes', 'achtertuin;voortuin']";52.29304569;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002357814/wethouder-vospad;Beschikbaar;4.99262971;Gein;3;5;285000;Wethouder Vospad;83;335;Woonhuis;1986;1107DG
171;08-05-2018;['Yes'];52.37170822;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002372760/pieter-jacobszstraat;Beschikbaar;4.89476572;Burgwallen-Oude Zijde;5;6;1180000;Pieter Jacobszstraat;168;500;Woonhuis;1899;1012HL
172;> 3 maanden;['No'];52.38534964;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002222754/haarlemmerweg;Beschikbaar;4.8752399;Centrale Markt;1;1;215000;Haarlemmerweg;33;87;Appartement;1983;1051KS
173;> 3 maanden;['No'];52.41421451;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002349800/plejadenplein;Verkocht onder voorbehoud;4.88491585;Tuindorp Oostzaan;3;4;325000;Plejadenplein;82;206;Woonhuis;1923;1033VK
174;> 3 maanden;['No'];52.37598625;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002349666/marnixstraat;Verkocht onder voorbehoud;4.87774173;Jordaan;1;1;189000;Marnixstraat;24;80;Appartement;1906;1015WE
