;Available since;Coordinates;Garden;Listing_status;Neighbourhood;Number of bedrooms;Number of rooms;Price;Surface (m²);Total volume (m³);Year built;Zipcode;link
0;01-05-2018;('4.8487089900', '52.3747253200');['Ja', 'achtertuin'];Beschikbaar;Erasmuspark;2;3;495.000;80;220;1932;1056RD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002367785/mercatorstraat
"
1;> 3 maanden;('4.9499119100', '52.3411598100');['Ja', 'ja'];Beschikbaar;Frankendael;3;4;425.000;85;290;1925;1097VE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002365513/middenweg
"
2;15-05-2018;('4.7999810900', '52.3771271000');['N', 'e', 'e'];Beschikbaar;Geuzenveld;2;3;360.000;99;235;1957;1067LN;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380079/goeman-borgesiusstraat
"
3;> 3 maanden;('4.9377223300', '52.3639070000');['N', 'e', 'e'];Beschikbaar;Indische Buurt West;2;1;215.000;37;153;1913;1094HE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002244821/javastraat
"
4;19-04-2018;('4.7895976400', '52.3510015600');['Ja', 'achtertuin'];Beschikbaar;Middelveldsche Akerpolder en Sloten;3;4;399.000;119;397;1998;1060RL;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002373105/h-diesveldsingel
"
5;> 3 maanden;('4.7891418100', '52.3565087900');['N', 'e', 'e'];Verkocht onder voorbehoud;De Punt;3;4;172.000;72;224;1963;1069ED;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002373081/langswater
"
6;07-05-2018;('4.8927485800', '52.3563847400');['N', 'e', 'e'];Beschikbaar;Oude Pijp;2;3;425.000;66;191;1963;1073AB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372442/eerste-van-der-helststraat
"
7;24-04-2018;('4.8241049000', '52.3787002900');['N', 'e', 'e'];Beschikbaar;Slotermeer-Zuidwest;3;4;350.000;101;292;1991;1063MD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002361087/cornelis-van-rijplantsoen
"
8;> 3 maanden;('4.9704917200', '52.3169671500');['N', 'e', 'e'];Beschikbaar;Bijlmer-Oost (E, G, K);2;3;225.000;72;175;1986;1104PA;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002106327/kolfschotenstraat
"
9;06-04-2018;('4.8650508100', '52.3624853200');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Overtoomse Sluis;1;2;350.000;56;152;1902;1054XA;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002363205/kanaalstraat
"
10;> 3 maanden;('4.7959493700', '52.3545746600');['N', 'e', 'e'];Beschikbaar;Osdorp-Midden;1;2;197.500;70;191;2004;1069HM;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0001277800/lederambachtstraat
"
11;> 3 maanden;('4.7959493700', '52.3545746600');['N', 'e', 'e'];Beschikbaar;Osdorp-Midden;1;2;197.500;70;191;2004;1069HM;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002364070/wagenaarstraat
"
12;> 3 maanden;('4.8954843200', '52.3519202400');['N', 'e', 'e'];Beschikbaar;Diamantbuurt;1;2;389.000;60;191;1903;1073GG;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382073/rustenburgerstraat
"
13;18-05-2018;('4.8878529500', '52.3805321600');['N', 'e', 'e'];Beschikbaar;Haarlemmerbuurt;2;3;519.000;73;157;1910;1015GD;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002382415/brouwersgracht
"
14;03-04-2018;('4.7938481300', '52.3627358900');['Ja'];Beschikbaar;Osdorp-Midden;5;6;475.000;130;157;2014;1069AL;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002344967/reimerswaalstraat
"
15;25-04-2018;('4.8815593100', '52.3734680800');['N', 'e', 'e'];Verkocht onder voorbehoud;Jordaan;3;4;849.000;145;489;2014;1016LR;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002362275/rozengracht
"
16;> 3 maanden;('4.8698955000', '52.3725638600');['Ja'];Beschikbaar;Frederik Hendrikbuurt;3;4;575.000;60;489;1952;1052LX;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002352776/hugo-de-grootkade
"
17;> 3 maanden;('4.9905496400', '52.2994650000');['Ja', '- achtertuin fraai aangelegd en gelegen op het zuidwesten. Met schuur en achterom.'];Beschikbaar;Gein;2;3;289.000;90;234;1986;1106WG;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0001427504/anne-kooistrahof
"
18;16-03-2018;('4.8679116900', '52.3739392900');['N', 'e', 'e'];Verkocht onder voorbehoud;Centrale Markt;3;4;435.000;92;277;1984;1051NJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002332184/marcantilaan
"
19;18-05-2018;('4.9006906500', '52.3868878000');"['Ja', 'achtertuin;zonneterras']";Beschikbaar;Buiksloterham;3;4;825.000;148;499;2001;1031KB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002383146/spadinalaan
"
20;15-03-2018;('4.9091604600', '52.3876574500');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Volewijck;1;2;279.000;44;129;1919;1031GP;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002331185/oleanderstraat
"
21;06-03-2018;('4.9084194200', '52.3692207000');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;1;2;415.000;51;168;1964;1011VK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315603/rapenburgerstraat
"
22;> 3 maanden;('4.9648325000', '52.3244878100');['Ja', 'Op het Oosten'];Beschikbaar;Bijlmer-Oost (E, G, K);3;6;324.500;131;168;2008;1103AV;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002358193/emanzana
"
23;> 3 maanden;('4.9648325000', '52.3244878100');['N', 'e', 'e'];Beschikbaar;Bijlmer-Oost (E, G, K);3;6;324.500;131;168;2008;1103AV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002319471/langswater
"
24;15-05-2018;('4.8563532800', '52.3630128700');['N', 'e', 'e'];Beschikbaar;Westindische buurt;1;2;300.000;53;169;1927;1058XX;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379783/crynssenstraat
"
25;03-05-2018;('4.8313242700', '52.3827249600');['Ja', 'achtertuin'];Beschikbaar;Slotermeer-Noordoost;4;5;550.000;142;465;1953;1063AX;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002373103/burgemeester-vening-meineszlaan
"
26;13-04-2018;('4.9233623700', '52.4089786800');['N', 'e', 'e'];Beschikbaar;Banne Buiksloot;2;3;250.000;74;235;1978;1034MB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002353005/grootzeilhof
"
27;> 3 maanden;('4.7958130600', '52.3769176100');['N', 'e', 'e'];Verkocht onder voorbehoud;Geuzenveld;4;5;299.000;104;347;1957;1067LZ;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002360091/de-bazelhof
"
28;> 3 maanden;('4.9180594200', '52.3684863500');['N', 'e', 'e'];Verkocht onder voorbehoud;Oostelijke Eilanden/Kadijken;3;4;700.000;107;361;1957;1018BH;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002284572/hoogte-kadijk
"
29;12-03-2018;('4.7907961000', '52.3546566600');['N', 'e', 'e'];Beschikbaar;De Punt;2;3;175.000;63;209;1966;1069TS;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002318199/langswater
"
30;> 3 maanden;('4.7894350100', '52.3565372300');['N', 'e', 'e'];Beschikbaar;De Punt;2;3;158.000;70;200;1963;1069ED;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0000180740/langswater
"
31;> 3 maanden;('4.8119313700', '52.3740490400');['N', 'e', 'e'];Beschikbaar;Slotermeer-Zuidwest;2;3;325.000;88;295;2008;1064LG;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002281434/confuciusplein
"
32;> 3 maanden;('4.9065451000', '52.4188789300');['Ja', 'ja'];Verkocht onder voorbehoud;Kadoelen;4;6;675.000;113;405;1920;1035NL;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002279953/kadoelenweg
"
33;19-04-2018;('4.8997977300', '52.3707943200');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;2;3;525.000;88;215;1890;1011HC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002357913/nieuwe-hoogstraat
"
34;> 3 maanden;('4.8086851500', '52.3617289600');['N', 'e', 'e'];Verkocht onder voorbehoud;Osdorp-Oost;2;4;189.500;100;300;1976;1068CV;"https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002329100/ruimzicht
"
35;> 3 maanden;('4.8860895300', '52.3884159100');['N', 'e', 'e'];Beschikbaar;Haarlemmerbuurt;2;2;319.000;43;300;1970;1013LC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002211275/zoutkeetsgracht
"
36;18-05-2018;('4.9378884900', '52.3648962800');['N', 'e', 'e'];Beschikbaar;Indische Buurt West;2;3;300.000;57;140;1913;1094BB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380986/djambistraat
"
37;07-03-2018;('4.8782279800', '52.3758445400');['N', 'e', 'e'];Verkocht onder voorbehoud;Jordaan;5;7;850.000;148;523;1862;1015GX;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002372671/lijnbaansgracht
"
38;19-04-2018;('4.8694604100', '52.3846774000');['N', 'e', 'e'];Bieding;Centrale Markt;2;3;465.000;88;258;1991;1051PB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002358879/waterspiegelplein
"
39;21-03-2018;('4.9332226800', '52.3775151700');['N', 'e', 'e'];Verkocht onder voorbehoud;Oostelijk Havengebied;2;3;500.000;93;313;2001;1019PG;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002336515/bogortuin
"
40;> 3 maanden;('4.8562922400', '52.3570716900');['N', 'e', 'e'];Verkocht onder voorbehoud;Willemspark;2;7;825.000;134;340;1920;1054LV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002234313/zocherstraat
"
41;21-03-2018;('4.8102041000', '52.3803949700');['Ja'];Beschikbaar;Slotermeer-Zuidwest;3;4;325.000;101;353;1989;1064MN;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002318197/nannie-van-wehlstraat
"
42;25-04-2018;('4.8729646700', '52.3776193400');['Ja', 'achtertuin'];Bieding;Frederik Hendrikbuurt;1;2;250.000;46;163;1916;1052TW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002363126/gillis-van-ledenberchstraat
"
43;02-05-2018;('4.8495691600', '52.3570683100');['N', 'e', 'e'];Verkocht onder voorbehoud;Hoofddorppleinbuurt;2;3;265.000;45;149;1933;1058KP;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002369819/warmondstraat
"
44;> 3 maanden;('4.7844086100', '52.3526649600');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Middelveldsche Akerpolder en Sloten;2;3;299.000;82;268;1990;1069PG;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002373086/irawan-soejonostraat
"
45;26-03-2018;('4.9794989300', '52.3007306600');['N', 'e', 'e'];Beschikbaar;Holendrecht/Reigersbos;2;5;240.000;108;272;1983;1106BA;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002338399/polsbroekstraat
"
46;16-05-2018;('4.9319652000', '52.3712549100');['Ja', 'zonneterras'];Beschikbaar;Oostelijke Eilanden/Kadijken;3;4;495.000;87;274;1983;1018RZ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002381250/blankenstraat
"
47;> 3 maanden;('4.9265290300', '52.3559997300');['N', 'e', 'e'];Beschikbaar;Transvaalbuurt;1;2;225.000;34;125;1983;1092EW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372092/pretoriusstraat
"
48;09-05-2018;('4.8935944500', '52.3779947400');['N', 'e', 'e'];Beschikbaar;Grachtengordel-West;1;2;449.000;64;137;1961;1012VC;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002380103/singel
"
49;01-03-2018;('4.9355979800', '52.3692376100');['N', 'e', 'e'];Verkocht onder voorbehoud;Oostelijk Havengebied;2;3;350.000;79;241;1991;1019DJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002308284/entrepothof
"
50;28-02-2018;('4.8590295700', '52.3281163100');['N', 'e', 'e'];Verkocht onder voorbehoud;Buitenveldert-West;1;2;290.000;60;183;1985;1081GP;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002306705/rupelmonde
"
51;17-05-2018;('4.9414767400', '52.3540796600');['Ja', 'achtertuin'];Beschikbaar;Middenmeer;3;4;600.000;95;352;1930;1098NK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380572/amperestraat
"
52;11-05-2018;('4.8653940600', '52.3620104800');['N', 'e', 'e'];Beschikbaar;Helmersbuurt;3;4;950.000;153;386;1899;1054VW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375385/wilhelminastraat
"
53;17-05-2018;('4.8776829100', '52.3504248800');['N', 'e', 'e'];Beschikbaar;Apollobuurt;4;8;1.500.000;231;805;1927;1077AM;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002381244/apollolaan
"
54;04-05-2018;('4.9921051100', '52.2910486500');['Ja', 'achtertuin'];Beschikbaar;Gein;4;5;265.000;100;290;1986;1107DG;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002371011/wethouder-vospad
"
55;13-04-2018;('4.8884376000', '52.3820895000');['N', 'e', 'e'];Beschikbaar;Haarlemmerbuurt;1;2;340.000;57;138;1984;1013JD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002353534/haarlemmerdijk
"
56;> 3 maanden;('4.9006156800', '52.3618189600');['N', 'e', 'e'];Beschikbaar;De Weteringschans;1;2;550.000;57;250;1998;1017WD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002304720/utrechtsedwarsstraat
"
57;> 3 maanden;('4.8988793100', '52.3448429600');['N', 'e', 'e'];Verkocht onder voorbehoud;Scheldebuurt;1;2;275.000;42;120;1906;1078LP;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002353786/roerstraat
"
58;> 3 maanden;('4.9830076100', '52.3630726300');['Ja', 'zonneterras'];Beschikbaar;IJburg West;3;5;650.000;156;524;2010;1086ZJ;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002281035/ijburglaan
"
59;> 3 maanden;('5.0011135700', '52.3507929700');['Ja', 'zonneterras'];Beschikbaar;IJburg Zuid;4;5;659.000;150;420;2007;1087MB;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002243152/jan-vrijmanstraat
"
60;09-05-2018;('4.8720562700', '52.3812284500');['N', 'e', 'e'];Bieding;Staatsliedenbuurt;3;5;580.000;91;285;2007;1051HS;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002374599/eerste-keucheniusstraat
"
61;15-05-2018;('4.8783028200', '52.3654820200');['N', 'e', 'e'];Bieding;Da Costabuurt;1;2;345.000;50;167;1902;1054AC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002377623/nassaukade
"
62;19-04-2018;('4.8747858800', '52.3839635700');['N', 'e', 'e'];Bieding;Staatsliedenbuurt;1;2;250.000;40;123;1902;1051GC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002358912/bentinckstraat
"
63;06-03-2018;('4.9084194200', '52.3692207000');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;1;2;485.000;56;181;1964;1011VK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315591/rapenburgerstraat
"
64;> 3 maanden;('4.8948300200', '52.3632690300');['N', 'e', 'e'];Beschikbaar;Grachtengordel-West;1;2;875.000;88;400;1690;1017EV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372664/keizersgracht
"
65;03-05-2018;('4.8801438900', '52.3739653400');['N', 'e', 'e'];Beschikbaar;Jordaan;3;5;825.000;213;800;1905;1016LG;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002371362/bloemstraat
"
66;> 3 maanden;('4.9010777500', '52.3759225800');['N', 'e', 'e'];Bieding;Burgwallen-Oude Zijde;2;3;715.000;137;451;1905;1012AL;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002299763/oudezijds-kolk
"
67;> 3 maanden;('4.7926591600', '52.3569309600');['N', 'e', 'e'];Beschikbaar;Osdorp-Midden;3;4;225.000;83;270;1961;1069DW;"https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002360800/tussen-meer
"
68;> 3 maanden;('4.9416098700', '52.3773672700');['N', 'e', 'e'];Beschikbaar;Oostelijk Havengebied;2;3;425.000;87;270;1996;1019LG;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002336289/knsm-laan
"
69;05-03-2018;('4.8774002300', '52.3737558300');['N', 'e', 'e'];Verkocht onder voorbehoud;Jordaan;5;7;1.395.000;185;465;1929;1016KP;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315631/bloemgracht
"
70;> 3 maanden;('4.8649953100', '52.3709425400');['N', 'e', 'e'];Verkocht onder voorbehoud;De Krommert;5;1;136.000;21;62;1942;1056KZ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002298243/korte-geuzenstraat
"
71;08-05-2018;('4.9118278600', '52.3827429400');['Ja'];Beschikbaar;Ijplein/Vogelbuurt;2;3;325.000;72;25.722;1984;1021LR;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002374750/ijplein
"
72;> 3 maanden;('4.8953830100', '52.4193274400');['Ja', 'ja'];Beschikbaar;Oostzanerwerf;4;5;400.000;126;420;1958;1035XP;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002375140/adriaan-loosjesstraat
"
73;> 3 maanden;('4.8953830100', '52.4193274400');['N', 'e', 'e'];Beschikbaar;Oostzanerwerf;4;5;400.000;126;420;1958;1035XP;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002365492/javastraat
"
74;10-04-2018;('4.8622730400', '52.3639829800');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Van Lennepbuurt;1;2;325.000;48;128;1958;1053PK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379110/borgerstraat
"
75;> 3 maanden;('4.9519566400', '52.3436389700');"['Ja', 'achtertuin;voortuin']";Verkocht onder voorbehoud;Middenmeer;5;6;750.000;167;574;2002;1098VW;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002285330/bernabeuhof
"
76;29-03-2018;('4.8690676600', '52.3818355700');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Staatsliedenbuurt;2;3;520.000;82;223;1906;1051CN;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002360295/de-kempenaerstraat
"
77;12-03-2018;('4.9204686300', '52.3669769500');['N', 'e', 'e'];Verkocht onder voorbehoud;Oostelijke Eilanden/Kadijken;2;3;1.160.000;147;599;1840;1018AW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002318979/geschutswerf
"
78;03-05-2018;('4.9492993200', '52.4017704600');['N', 'e', 'e'];Verkocht onder voorbehoud;Buikslotermeer;3;4;249.112;86;268;1966;1025AL;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002371010/elpermeer
"
79;> 3 maanden;('4.8743210100', '52.3255365800');['N', 'e', 'e'];Beschikbaar;Buitenveldert-West;3;4;360.000;75;238;1963;1082EN;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002339721/zuid-hollandstraat
"
80;> 3 maanden;('4.7891125800', '52.3564996500');['N', 'e', 'e'];Beschikbaar;De Punt;3;4;215.000;72;210;1963;1069ED;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002344936/langswater
"
81;> 3 maanden;('4.8962029200', '52.3745273500');['Ja'];Beschikbaar;Burgwallen-Oude Zijde;3;5;995.000;162;210;1775;1012JV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002331644/beursstraat
"
82;> 3 maanden;('4.8079265400', '52.3658596300');['N', 'e', 'e'];Beschikbaar;Osdorp-Oost;3;4;475.000;129;435;2006;1068VM;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002316090/president-allendelaan
"
83;02-05-2018;('4.8543332100', '52.3686301200');['N', 'e', 'e'];Beschikbaar;Hoofdweg en omgeving;2;3;300.000;50;187;1927;1057SV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002367262/baffinstraat
"
84;02-05-2018;('4.8543332100', '52.3686301200');['N', 'e', 'e'];Beschikbaar;Hoofdweg en omgeving;2;3;300.000;50;187;1927;1057SV;"https://www.pararius.nl/overig-te-koop/amsterdam/PB0002349669/theodorus-majofskistraat
"
85;> 3 maanden;('4.9185444600', '52.3545393400');['N', 'e', 'e'];Beschikbaar;Transvaalbuurt;2;3;485.000;90;240;1992;1091XD;"https://www.pararius.nl/overig-te-koop/amsterdam/PB0001897809/president-brandstraat
"
86;30-03-2018;('4.8635276400', '52.3522235700');['Ja', 'achtertuin'];Beschikbaar;Willemspark;5;8;5.900.000;435;1.500;1910;1075BH;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002342113/valeriusplein
"
87;18-04-2018;('4.8926790800', '52.3771101300');['N', 'e', 'e'];Beschikbaar;Grachtengordel-West;2;3;669.000;90;160;1906;1012VC;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002380101/singel
"
88;15-05-2018;('4.8805855800', '52.3705715500');['N', 'e', 'e'];Beschikbaar;Jordaan;2;3;750.000;96;288;2017;1016SG;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379075/elandsstraat
"
89;08-03-2018;('4.8958289900', '52.3446505800');['N', 'e', 'e'];Verkocht onder voorbehoud;Scheldebuurt;2;4;550.000;119;348;1906;1078HE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002317999/maasstraat
"
90;> 3 maanden;('4.8116674200', '52.3728883300');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Slotermeer-Zuidwest;2;4;250.000;60;175;1906;1064NJ;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002373083/geert-grootestraat
"
91;> 3 maanden;('4.9237151400', '52.3640057800');['N', 'e', 'e'];Beschikbaar;Oosterparkbuurt;2;3;625.000;114;381;2002;1093RP;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002266176/mauritskade
"
92;17-05-2018;('4.8888527900', '52.3516768000');['N', 'e', 'e'];Beschikbaar;Nieuwe Pijp;1;2;325.000;45;145;1901;1072TA;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380577/van-ostadestraat
"
93;> 3 maanden;('4.8003774700', '52.3771380500');['Ja', 'achtertuin'];Beschikbaar;Geuzenveld;2;4;290.000;94;223;1957;1067LN;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002264732/goeman-borgesiusstraat
"
94;> 3 maanden;('4.8986465700', '52.3699896700');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;2;10;3.250.000;293;1.471;1775;1011KH;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002229536/raamgracht
"
95;07-03-2018;('5.0025517100', '52.3494844100');['Ja', 'achtertuin'];Verkocht onder voorbehoud;IJburg Zuid;4;5;525.000;122;417;2015;1087MH;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002317062/loet-c-barnstijnstraat
"
96;12-03-2018;('4.9253200900', '52.3550962400');['N', 'e', 'e'];Beschikbaar;Transvaalbuurt;1;2;375.000;66;275;1912;1092JA;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002318745/paardekraalstraat
"
97;> 3 maanden;('4.7852188600', '52.3491997900');['N', 'e', 'e'];Verkocht onder voorbehoud;Middelveldsche Akerpolder en Sloten;2;3;300.000;89;265;1999;1060RN;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002355727/ecuplein
"
98;03-05-2018;('4.8747621900', '52.3275383700');['N', 'e', 'e'];Beschikbaar;Buitenveldert-West;2;2;210.000;34;113;1965;1082HM;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002367702/van-nijenrodeweg
"
99;11-04-2018;('4.9801647600', '52.2936595600');['N', 'e', 'e'];Verkocht onder voorbehoud;Holendrecht/Reigersbos;1;1;115.000;32;99;1982;1107JJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002351513/schelluinenstraat
"
100;14-05-2018;('4.8756458900', '52.3463356500');['N', 'e', 'e'];Bieding;Station-Zuid WTC en omgeving;7;8;1.300.000;200;760;1932;1077VB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379782/holbeinstraat
"
101;> 3 maanden;('4.8874777900', '52.3864534700');['N', 'e', 'e'];Beschikbaar;Haarlemmerbuurt;2;3;725.000;133;425;1932;1013LL;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379548/prinseneiland
"
102;14-05-2018;('4.9210686100', '52.4034962100');['N', 'e', 'e'];Beschikbaar;Banne Buiksloot;2;4;400.000;103;299;1995;1034WT;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380062/jesse-owenshof
"
103;16-05-2018;('4.9825555800', '52.2983234400');['N', 'e', 'e'];Beschikbaar;Gein;2;4;245.000;89;280;1983;1106CX;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002378939/vleutenstraat
"
104;> 3 maanden;('4.8070631900', '52.3622692800');['N', 'e', 'e'];Beschikbaar;Osdorp-Oost;1;2;299.000;96;325;1970;1068CN;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002362571/ruimzicht
"
105;19-04-2018;('4.9124132100', '52.3527623000');['Ja', 'zonneterras'];Beschikbaar;Weesperzijde;3;4;675.000;113;354;1998;1091GS;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002357910/wibautstraat
"
106;> 3 maanden;('4.9672031400', '52.4101731800');['Ja', 'ja'];Beschikbaar;Waterland;5;9;1.900.000;364;1.245;1998;1027AG;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002351302/t-voorwerf
"
107;02-04-2018;('4.8114852400', '52.3461937300');['N', 'e', 'e'];Beschikbaar;Sloten- en Riekerpolder;3;4;750.000;141;432;1994;1066SE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002344980/ardennenlaan
"
108;07-05-2018;('4.8586610300', '52.3751027100');['N', 'e', 'e'];Beschikbaar;Landlust;2;3;400.000;78;277;1906;1056GX;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372468/admiraal-de-ruijterweg
"
109;> 3 maanden;('4.8247730700', '52.3445409500');['N', 'e', 'e'];Beschikbaar;Sloten- en Riekerpolder;2;3;425.000;109;335;1906;1066GH;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002348314/chet-bakerstraat
"
110;06-03-2018;('4.9084194200', '52.3692207000');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;1;2;350.000;42;155;1964;1011VK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315589/rapenburgerstraat
"
111;19-04-2018;('4.9452688100', '52.3240838100');['N', 'e', 'e'];Verkocht onder voorbehoud;Bijlmer-Centrum (D, F, H);2;3;200.000;73;219;1983;1102ZW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002357876/dickenslaan
"
112;15-05-2018;('4.8617582900', '52.3752153600');['N', 'e', 'e'];Beschikbaar;Van Galenbuurt;3;5;425.000;88;205;1983;1056CC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002377624/jan-van-galenstraat
"
