;Available since;Coordinates;Garden;Listing_status;Neighbourhood;Number of bedrooms;Number of rooms;Price;Surface (m²);Total volume (m³);Year built;Zipcode;link
338;> 3 maanden;('4.9376285800', '52.4006841700');['N', 'e', 'e'];Verkocht onder voorbehoud;Buikslotermeer;1;2;184.500;66;201;1981;1025CW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002356827/dijkwater
"
339;17-04-2018;('4.8713788600', '52.3851711100');['N', 'e', 'e'];Beschikbaar;Staatsliedenbuurt;1;2;360.000;62;186;1906;1051EE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002355733/groen-van-prinstererstraat
"
340;16-05-2018;('4.9025338100', '52.3757218300');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;5;7;1.150.000;174;615;1750;1011EH;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382967/geldersekade
"
341;09-05-2018;('4.8575483000', '52.3699028300');['N', 'e', 'e'];Bieding;De Krommert;1;2;300.000;52;135;1925;1057ZS;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002374191/filips-van-almondestraat
"
342;07-05-2018;('4.8745925500', '52.3473197500');['N', 'e', 'e'];Beschikbaar;Apollobuurt;2;3;480.000;59;173;1925;1077KE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372032/cliostraat
"
343;16-05-2018;('4.8606894100', '52.3464947500');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Stadionbuurt;2;3;500.000;75;269;1925;1076VE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380171/turnerstraat
"
344;28-03-2018;('4.8828502400', '52.3748756700');['Ja', 'zonneterras'];Beschikbaar;Grachtengordel-West;3;6;1.825.000;252;915;1925;1016HA;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002341210/prinsengracht
"
345;> 3 maanden;('4.8718072600', '52.3672694400');['N', 'e', 'e'];Beschikbaar;Van Lennepbuurt;1;2;210.000;36;915;1900;1053EB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002221162/kinkerstraat
"
346;> 3 maanden;('4.8760208200', '52.3915095800');['N', 'e', 'e'];Bieding;Spaarndammer- en Zeeheldenbuurt;2;3;265.000;53;140;1933;1013WD;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002262993/polanenstraat
"
347;11-04-2018;('4.9435192400', '52.3523886500');['N', 'e', 'e'];Verkocht onder voorbehoud;Middenmeer;3;4;375.000;67;220;1955;1098TJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002351138/lamarckhof
"
348;11-04-2018;('4.9435192400', '52.3523886500');['N', 'e', 'e'];Verkocht onder voorbehoud;Middenmeer;3;4;375.000;67;220;1955;1098TJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002371605/nicolaas-beetsstraat
"
349;> 3 maanden;('4.9264869600', '52.3883282900');['N', 'e', 'e'];Beschikbaar;Ijplein/Vogelbuurt;3;2;275.000;43;125;1918;1022AD;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002321238/zamenhofstraat
"
350;04-05-2018;('4.8696125300', '52.3791955600');['N', 'e', 'e'];Bieding;Staatsliedenbuurt;3;4;310.000;53;167;1927;1051JB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002371364/luzacstraat
"
351;04-05-2018;('4.8696125300', '52.3791955600');['N', 'e', 'e'];Bieding;Staatsliedenbuurt;3;4;310.000;53;167;1927;1051JB;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002334894/soendastraat
"
352;06-03-2018;('4.9084194200', '52.3692207000');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;1;2;445.000;50;184;1964;1011VK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315592/rapenburgerstraat
"
353;06-03-2018;('4.9084194200', '52.3692207000');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;1;2;435.000;56;178;1964;1011VK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315609/rapenburgerstraat
"
354;06-03-2018;('4.9084194200', '52.3692207000');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;1;2;640.000;72;233;1964;1011VK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315607/rapenburgerstraat
"
355;11-04-2018;('4.7975938600', '52.3545379300');['N', 'e', 'e'];Beschikbaar;Osdorp-Midden;2;3;249.000;70;225;1962;1069GZ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002351120/ekingenstraat
"
356;09-05-2018;('4.9031781500', '52.3570479900');['Ja', 'achtertuin'];Beschikbaar;Oude Pijp;2;3;465.000;65;246;1882;1074CM;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002374045/tweede-jan-steenstraat
"
357;> 3 maanden;('4.9991329700', '52.3540580200');['N', 'e', 'e'];Verkocht onder voorbehoud;IJburg West;3;4;400.000;102;342;2006;1087JE;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002373549/sem-presserhof
"
